CA;CxJ;FJ;BJ;ET;SLT;SRVs
10;[5, 30, 2, 2, 3, 1, 1, 9, 12, 2];40;27;52.96672935002132;10.0;[{1: 2.6598031541611986, 2: 29.739895778624977, 3: 3.2049426079683463, 4: 3.291168553617408, 5: 5.344680872846258, 6: 6.007761806038506, 7: 6.909223160880338, 8: 13.82376853255425, 9: 20.876953060768713, 10: 9.073943858910297}, {5: 4.979939801319318, 8: 21.330292747517863, 2: 42.20876006275902, 9: 26.337000396460663}, {1: 4.124660880758814, 2: 46.472811450838186, 8: 17.12218611929572, 9: 26.738567038065824}, {2: 45.334448753103345, 4: 4.685954174012323, 1: 8.457733045356761, 9: 24.944206102663603}, {1: 9.012926375817464, 2: 49.871966048263566, 8: 19.154926999954593, 9: 26.287815785732807}, {1: 11.374203415301507, 6: 7.720621215923861, 8: 21.7728970799135, 2: 51.18074375683285}, {3: 4.246728388593494, 5: 6.591105001904119, 7: 8.690192315472075, 6: 11.105454944271804, 1: 11.876995195861767, 10: 13.906597832992157, 9: 26.90837965661066, 2: 52.60441225692386}, {3: 5.494679333130757, 4: 5.505646344929943, 5: 7.02613774580505, 7: 9.135916359054448, 6: 12.412255173712408, 1: 12.920719430590616, 10: 14.035704968925264, 8: 22.390281030354473, 9: 26.939735109508867, 2: 52.80860278203974}]
11;[2, 3, 7, 6, 2, 12, 4, 1, 2, 5, 5];34;15;44.42008061580018;10.0;[{1: 1.1432941602995534, 2: 5.218098204073455, 3: 16.501322041701552, 4: 11.100607839039556, 5: 5.706641999013736, 6: 9.801083817285337, 7: 6.422271758944965, 8: 7.167395060228923, 9: 16.026013456614567, 10: 8.557791958603936, 11: 9.253470791579076}, {1: 3.510073572980816, 2: 3.3462941560544723, 3: 3.5667659624250114, 4: 5.8882515149026435, 6: 33.69668141665038, 7: 13.814660921875415, 9: 26.84489778393639, 11: 31.277506646244245}, {1: 5.017303699390412, 3: 5.246265060006068, 5: 6.111587710749811, 7: 15.11111271775792, 10: 23.13528033869939, 11: 31.950049753321444, 6: 40.71603168617655}, {3: 32.03501576874994, 4: 6.807678469594566, 5: 7.794013441275516, 11: 29.886359175336718, 10: 26.79459067679268, 6: 41.72182294314168}, {11: 30.371623327349642, 6: 42.47896950697193, 3: 36.03964681738521}, {2: 3.857193896302909, 4: 6.671270280756704, 10: 27.204736405518815, 3: 30.708385364836722, 11: 32.037946018713775, 6: 42.62845713407521}, {2: 4.186583871103205, 4: 24.71333376463152, 10: 28.94736131339944, 3: 38.98386226716447, 11: 34.8242568486857, 6: 43.15037872027803}, {1: 5.50151448550305, 2: 5.977002560626097, 5: 9.132247708408862, 8: 10.375450323895873, 7: 17.226863053121885, 4: 25.060014468153554, 9: 27.286724539322247, 10: 31.046844664697232, 11: 34.98359755906608, 3: 41.335855048220274, 6: 43.15563619934977}]
5;[18, 10, 13, 2, 11];36;18;45.0660736788166;10.0;[{1: 39.19311790524464, 2: 3.5277563611324076, 3: 23.571000668425086, 4: 6.844226876090252, 5: 25.745345651288996}, {1: 32.990353565823035, 2: 28.774323615865622, 4: 9.578014190333624, 3: 32.576368305199274, 5: 28.499759861032558}, {1: 36.60086774243361, 2: 24.788982206676867, 5: 30.929956650030256, 3: 38.733959314863775}, {3: 38.70643901897606, 2: 27.50938226310944, 1: 27.861034989383942, 5: 25.92707139913192}, {2: 16.992895912774088, 1: 21.071137617833426, 3: 21.654474461906254}, {1: 30.26654274104245, 2: 18.408530642979716, 5: 32.81697996521997, 3: 40.676258005019385}, {1: 39.771811007411316, 2: 23.11551560878219, 5: 17.692778234916627, 3: 40.722220168185565}, {4: 10.454307863367756, 5: 32.944249093028034, 2: 34.41085096490925, 1: 40.021992514190295, 3: 41.06105570952224}]
12;[1, 2, 4, 3, 1, 2, 9, 2, 5, 10, 1, 5];35;10;30.886614902086336;10.0;[{1: 1.39187577165506, 2: 2.6316205211620898, 3: 2.9661702841949222, 4: 4.75219025124459, 5: 5.70311538400125, 6: 8.020422640309823, 7: 17.625188559631034, 8: 8.63691718387979, 9: 9.757577022325941, 10: 16.92972451757362, 11: 9.131938552463488, 12: 9.230210534351171}, {2: 3.195179241702042, 6: 8.02085211648124, 10: 17.771297923745816, 11: 9.958438071896099, 7: 19.397378155864487, 12: 16.531406652843195}, {2: 3.5288762052366898, 4: 7.617327370361103, 6: 8.624763466578742, 8: 9.56399348381511, 11: 13.381178014810072, 12: 15.52332928801837, 10: 17.574983089067928}, {2: 5.57036802352113, 6: 9.581829541616065, 12: 11.575543656576373, 10: 23.49500353302617, 7: 13.522943129921913, 9: 14.240188342112166}, {3: 3.2688638337969023, 2: 6.457731789125811, 12: 15.972804592459616, 10: 25.08677548167932, 7: 17.04477947530458, 9: 18.49213669206304}, {2: 10.076703306906877, 7: 9.00391523078274, 10: 24.761731886509573, 9: 18.54204545810841}, {3: 5.2178574089326135, 4: 7.811371882611333, 2: 10.371777019200666, 7: 24.55268350110429, 8: 10.867775304115293, 11: 14.84762409661003, 9: 21.774780045085244}, {1: 1.9020702268236298, 3: 6.4999619594679, 5: 6.6887225356121025, 4: 9.799600198989763, 6: 10.157627779839784, 2: 11.552762013766888, 8: 12.982048797627373, 11: 15.127540775054447, 12: 16.72223250266304, 9: 21.821500304456137, 7: 24.90808448493936, 10: 25.38035996339222}]
9;[2, 17, 1, 7, 1, 2, 3, 5, 5];29;14;33.64523029791576;10.0;[{1: 1.7245651454174429, 2: 22.96380335267258, 3: 2.7572297665496825, 4: 2.761068905374071, 5: 5.753938773456269, 6: 7.328169936268447, 7: 14.192990897002725, 8: 10.831039163866048, 9: 8.730951241235953}, {1: 3.402596572260805, 2: 30.13412203200809, 4: 16.962266174933948, 6: 9.175706127323876, 7: 10.302635670005792, 9: 23.271293036727943}, {1: 5.944640288239789, 2: 27.618397208980603, 6: 9.442200107371013, 4: 13.463953826942173, 7: 10.948806720847594, 9: 23.85153630183343, 8: 14.018738959187589}, {2: 29.297650974780932, 6: 9.776879442700448, 4: 18.923996424655698, 7: 13.421973290492803, 9: 13.442172939616762}, {9: 25.484209108195678, 4: 15.021896660237555, 2: 16.146624922496635}, {8: 12.249127666248253, 7: 15.727221157089899, 9: 26.195370767916565, 4: 19.890366217160295, 2: 22.75705612848103}, {3: 4.8115179760529845, 6: 9.911983030592522, 8: 17.231067054167518, 7: 20.126923066017763, 2: 22.2561365902379, 9: 26.53999724235469}, {3: 5.337012029499301, 5: 5.975225313607903, 1: 9.233737071008724, 6: 12.002212321124258, 8: 18.12004087744542, 7: 20.304127921854864, 4: 20.853743980630114, 2: 30.230097565564588, 9: 30.772536678880762}]
11;[6, 8, 19, 6, 5, 3, 1, 4, 1, 6, 2];35;26;44.89903150931859;10.0;[{1: 17.762129880558405, 2: 15.4197744095178, 3: 41.925876531456474, 4: 13.448758067225576, 5: 7.04021366769864, 6: 7.393326185035452, 7: 7.971480441148694, 8: 22.91151149895764, 9: 9.79641880415126, 10: 33.8748546053645, 11: 9.918354871430745}, {1: 13.056573155620098, 3: 26.10201109002767, 2: 21.263188056487174, 5: 13.610317355000513, 6: 23.374668831030785, 10: 26.34209759906004, 11: 17.356876412667688}, {1: 12.530007351331395, 3: 33.512430490055614, 2: 23.66194933787801, 5: 18.814529377194372, 6: 19.249341948940966, 10: 27.583740470944193}, {1: 12.935603602121049, 3: 28.517512063831315, 4: 12.679352850080523, 5: 20.642896047418088, 11: 24.282228898684707}, {3: 36.82502785721354, 2: 19.501808857517712, 5: 22.984081396534794, 11: 24.320414763247385, 8: 25.610355196052897}, {3: 40.28764349257944, 4: 12.86244882156954, 5: 20.041136638095097, 2: 21.14107898774175, 8: 25.6212616372559, 11: 24.32372417549302, 10: 34.37351712501865}, {4: 12.717937524313061, 1: 17.173368533281135, 6: 23.790050046201692, 5: 24.143677189519497, 2: 24.546920110249392, 11: 24.80362369247527, 8: 26.060927375717757, 3: 43.21379639408387}, {7: 14.933178527295896, 9: 16.429004385681555, 4: 18.583460272457796, 1: 24.968597272555872, 6: 27.46806067174846, 5: 28.43773924421637, 2: 28.654363637417156, 11: 28.705364262684192, 8: 29.072301553279427, 10: 35.49435797649166, 3: 43.99703928171026}]
7;[9, 3, 7, 2, 1, 10, 19];34;17;36.538529579922574;10.0;[{1: 9.435591041430662, 2: 3.7933302049331363, 3: 4.9239700679178, 4: 5.181004585767118, 5: 6.9024904509166705, 6: 7.139833829739139, 7: 21.30468791183103}, {1: 13.306470522169667, 2: 3.965621900649048, 3: 5.775179871592909, 4: 6.584827873889839, 5: 6.9137733335715845, 6: 20.28673450491978, 7: 33.39352544334709}, {1: 13.874030135145496, 2: 9.380473271811036, 3: 18.98870792265649, 4: 9.323632316085664, 7: 29.153139446657157, 6: 20.29941163558664}, {1: 14.61468737673013, 4: 10.12761306609508, 6: 17.412307159254265, 3: 13.649494081245539, 7: 29.497445884466796}, {7: 13.008392693021731, 4: 10.454392889765359, 6: 21.945152440929707, 3: 18.65833726900428}, {7: 31.994153837211133, 3: 10.008127820680508, 1: 11.748688843173534, 6: 22.162577749686445}, {3: 10.594674091071864, 6: 15.94687819614395, 7: 31.546733100978678}, {5: 9.59377956167114, 2: 10.611038839559837, 4: 11.987528329203837, 1: 19.420156903894224, 3: 20.018794536774877, 6: 23.27876587514981, 7: 34.7176830667129}]
8;[2, 5, 16, 1, 6, 1, 5, 18];35;19;45.252377163174295;10.0;[{1: 2.1970081495444127, 2: 3.5530725753943355, 3: 27.731263051565563, 4: 4.393983516929144, 5: 4.456864234029821, 6: 4.890874557000675, 7: 6.082684229495618, 8: 39.24489756426347}, {1: 8.132252455856534, 3: 28.421218095494275, 4: 6.763204634739462, 5: 11.057264807775685, 6: 7.1648455327730804, 7: 17.26180755999517, 8: 28.6803854678843}, {1: 11.282406779938743, 3: 27.25576480099935, 4: 8.490768158067764, 6: 9.445863230166783, 5: 11.572226989958052, 7: 12.533199582166075, 8: 42.08468737349795}, {2: 5.840215710908143, 1: 6.7146354381306885, 4: 8.94006133235697, 5: 16.146932157667962, 6: 9.478107234162325, 3: 19.64252419768419, 8: 38.199749651922936}, {2: 6.095614626069606, 1: 6.799028336925088, 5: 10.403703193407555, 6: 12.133534946640673, 7: 15.799677605853681, 3: 17.307958593137762, 8: 40.558170442442325}, {2: 5.399517728159302, 8: 43.596375942623844, 3: 25.359033885233885}, {2: 7.86290165082377, 3: 8.48947895897003, 8: 44.03355352846681, 6: 15.590871453520961, 7: 19.28970326370522}, {2: 8.170266316141944, 4: 9.887617038999512, 1: 11.97648411735713, 6: 16.539601830636954, 5: 17.12292988504218, 7: 19.997607078885917, 3: 28.906032354094528, 8: 44.126382563858954}]
9;[13, 7, 7, 12, 1, 1, 3, 2, 4];34;16;38.0991730796943;10.0;[{1: 31.45744438386883, 2: 18.434334742433585, 3: 2.692042476533485, 4: 26.65996395373672, 5: 3.9426525706215547, 6: 6.71330385354111, 7: 11.105106508134496, 8: 11.005974268628435, 9: 8.747663240372631}, {1: 32.033550762981264, 3: 15.42728544335976, 5: 8.58169960651481, 9: 19.24997734010566, 8: 12.058522299495296, 2: 18.58567065214317, 4: 26.690238899115744}, {1: 26.14285663666485, 2: 18.30601228273988, 9: 14.384841880565322, 8: 13.038010095634451, 4: 31.378624544463786}, {4: 32.891389748415335, 3: 9.220810677326378, 1: 31.21019410247296, 9: 17.469002150294273}, {3: 16.644473268233593, 2: 6.081659838249173, 4: 34.52616160376684, 1: 26.056491447895002}, {7: 8.975995693076426, 2: 9.026470584492357, 3: 18.038064009428126, 4: 35.15314922370512, 1: 16.937724891846013, 8: 16.757876872560367}, {2: 19.468543215793872, 7: 12.669919758259399, 8: 17.83829443076768, 1: 21.23004530573261, 9: 20.312745868370214, 3: 21.1451345177785, 4: 36.74147675448801}, {6: 8.806206114531888, 5: 9.47479750471169, 7: 13.812880780480285, 8: 17.99525229975443, 2: 20.710699877694655, 9: 22.144085202915285, 3: 22.64904893520545, 1: 33.51209173008069, 4: 37.5896292110049}]
13;[8, 8, 1, 11, 3, 12, 12, 4, 5, 5, 4, 10, 1];51;33;44.121549160738724;10.0;[{1: 3.171218686681809, 2: 15.413915437649763, 3: 3.9045627103797873, 4: 34.71407950503911, 5: 4.964031612238763, 6: 39.63503959582277, 7: 31.99504496851454, 8: 7.132092850924351, 9: 25.77875960436364, 10: 30.995474805459335, 11: 9.518775061516843, 12: 32.07558343187492, 13: 9.961954739199442}, {2: 15.108775457651607, 1: 10.989109269429552, 4: 34.97210898185796, 6: 41.36570168497987, 8: 11.884223399850645, 9: 26.902737119664554, 7: 32.12004916589411}, {5: 5.325566338909606, 1: 10.917670048668079, 6: 37.503303102914565, 12: 14.125293217719399, 11: 19.051179370107196, 7: 30.85380832672856, 4: 30.150931533215264}, {4: 30.22849324671474, 2: 9.495335219307753, 8: 11.844565293072856, 11: 19.807450163601754, 12: 29.40914345192204, 7: 22.892787913542218, 6: 36.61808568187695}, {2: 13.122231914997563, 1: 12.137148859646691, 4: 34.176051243956564, 10: 13.305515245514881, 12: 17.102494474755492, 11: 21.426249308212647, 6: 28.1378976675865, 7: 35.186311506435615}, {1: 14.882373048437245, 3: 4.692646717079224, 2: 11.178090621603861, 5: 6.069189701679453, 4: 25.68057344715243, 7: 38.38061080721853, 9: 12.25992453821952, 13: 14.321692482949658, 10: 30.552385257394942, 6: 41.99281541419502, 12: 32.35434294527206, 11: 22.835256405973443}, {1: 17.786359600964875, 3: 8.148953817013075, 5: 11.429948376700423, 9: 21.236108941400147, 8: 13.202556263395502, 11: 26.009829583628907, 13: 15.361947838293943, 7: 38.98294376659052, 10: 28.6619358221895, 6: 37.61145885661908, 12: 34.05838144208111}, {3: 10.161456554010734, 5: 11.847753809386992, 2: 16.39537308565304, 8: 17.884925251726816, 13: 21.339182427003728, 1: 22.740507276488575, 9: 27.077171541056682, 11: 29.657278772161447, 10: 31.480039880638675, 12: 35.08359321995417, 4: 36.49262334757041, 7: 40.33989399951781, 6: 42.384384939659775}]
18;[1, 4, 9, 14, 3, 5, 1, 6, 15, 5, 1, 1, 2, 5, 3, 6, 1, 1];57;26;55.39728451788618;10.0;[{1: 0.2630077831061324, 2: 0.36618848384895464, 3: 29.156843850895886, 4: 33.03465196233149, 5: 1.0470910284832748, 6: 3.665736914191094, 7: 4.137512430239359, 8: 25.98666659401529, 9: 46.89503892629723, 10: 14.190425519710928, 11: 5.208542490343758, 12: 5.335381032502255, 13: 5.4169789837927995, 14: 6.441536303124143, 15: 6.924868901576467, 16: 7.141361091551513, 17: 7.805003374562162, 18: 8.918868616583723}, {1: 2.7788846795143107, 2: 3.645416518221559, 3: 23.37382842490932, 6: 11.785881580293797, 4: 13.656655546687054, 11: 14.928241944153983, 13: 18.377004357826525, 14: 19.781954114696322, 16: 24.142005852788813, 8: 23.448981980148645, 9: 44.304170659210996, 10: 24.968713687443266}, {1: 7.362459259327464, 2: 7.8458453910421495, 3: 29.87650394191122, 6: 11.800708081200911, 4: 20.786905183692735, 13: 21.630561718231508, 14: 21.98167761094636, 10: 29.48904024000295, 9: 50.15815586753199, 16: 33.08983857457606}, {2: 2.857048266140841, 5: 8.1590874832405, 1: 7.882171347850086, 4: 35.0019269049705, 14: 34.309310794042496, 3: 25.053446857467407, 8: 26.041179851244426, 9: 50.65787953292092, 16: 33.08924882302345}, {4: 31.955178688164594, 2: 8.356178069273115, 15: 23.464138132589316, 18: 22.954249442060416, 3: 28.87569227444716, 8: 29.84026776905705, 16: 27.63312896150412, 10: 29.527606302277807, 9: 51.5853202452105, 14: 36.83752500920541}, {3: 30.72824189102213, 4: 15.46472908212714, 7: 11.23776008066895, 6: 12.938490111700997, 12: 16.493221861192914, 15: 24.121124576110113, 18: 23.795199916403348, 14: 38.32016639707163, 16: 28.363708159914967, 9: 51.77753549888308}, {3: 32.38294540221565, 6: 15.749828857721463, 7: 15.338014298565946, 4: 28.64551379318446, 12: 17.929538934295064, 18: 24.55789996106815, 15: 24.598742695758062, 16: 30.17794585931805, 8: 32.1778874216474, 9: 52.646237239773626, 14: 38.46726880793549}, {1: 8.224026040389434, 5: 9.897888851728123, 2: 11.954184482058068, 7: 16.027843698027958, 6: 16.44756563619621, 11: 17.199694814521116, 12: 18.878966518544626, 17: 22.212701505594172, 13: 23.608443212695594, 18: 25.525362805761144, 15: 26.21636010578735, 10: 31.676309524852652, 16: 33.093100569778755, 8: 33.73244617323089, 3: 34.552779331815685, 4: 36.844995895367624, 14: 39.16644877589003, 9: 54.62996303868844}]
9;[2, 2, 8, 5, 2, 2, 4, 1, 1];20;7;28.628828814905425;10.0;[{1: 0.6469249685305388, 2: 3.6390980775521005, 3: 18.587422709179933, 4: 11.602370523941572, 5: 2.503692256278633, 6: 5.584924370137484, 7: 18.394614135539477, 8: 7.7780961510609705, 9: 8.649894832481063}, {2: 7.31391579094546, 6: 9.712537185467296, 7: 12.920381797419964, 4: 15.79841617450873, 3: 24.452313003443173}, {1: 1.6968861883461024, 3: 23.73660567595742, 6: 11.318452255066708, 7: 18.002112367294835}, {1: 1.7598797740311682, 5: 5.861528943237172, 3: 25.109819796628877}, {1: 3.2462335407835505, 4: 15.805406191763236, 3: 27.491438094533574}, {1: 3.648674792116904, 5: 6.506143079167193, 4: 10.433161911977049, 3: 12.242454072509272}, {5: 7.080486606889843, 2: 8.082971099766871, 6: 11.844130669265398, 3: 12.864081624596746, 8: 14.360763354535798}, {1: 4.276482913204363, 5: 7.4422676914087225, 2: 11.087718898314211, 6: 13.339033388082731, 9: 14.368693267415066, 8: 15.119740661850265, 4: 16.051124128422654, 7: 19.658418973531, 3: 28.42831945821882}]
7;[1, 4, 11, 7, 5, 6, 5];26;13;31.07040124461236;10.0;[{1: 1.2801162356432345, 2: 3.5161255966525706, 3: 5.492963848178539, 4: 8.931427670661956, 5: 17.53405522098529, 6: 14.897214762239486, 7: 9.818780520599695}, {1: 1.712470776632896, 2: 3.578580777856427, 6: 17.00379358426394, 3: 14.114925037574611, 5: 17.646007160702435, 7: 17.18634019413639}, {1: 4.595990667016499, 2: 9.066658545973533, 6: 13.596540548800197, 3: 21.978549032023302, 5: 17.93993531382723, 7: 17.9115908950613}, {5: 18.75490653802626, 2: 9.981622389570044, 4: 13.218975566493395, 6: 17.085743768874575, 3: 14.908808554162789, 7: 18.26061053811295}, {3: 23.406535821863642, 5: 11.939672511544247, 4: 13.67065509993556, 6: 18.016499727956685}, {2: 7.5044820594404875, 3: 28.27184735846828, 7: 14.552034128612375, 4: 16.38840792161188}, {4: 18.71859490114182, 7: 14.566118264806937, 3: 28.29435033695001}, {1: 5.839857765827208, 2: 12.767785225316954, 6: 18.062785357566, 7: 18.510070544589556, 4: 19.259410960816467, 5: 21.420133021113077, 3: 30.04124294722396}]
12;[8, 2, 1, 1, 2, 1, 5, 3, 2, 1, 6, 11];32;11;44.89736303174952;10.0;[{1: 0.31042410557995626, 2: 2.082871542500122, 3: 2.0998162563646083, 4: 3.463768708448525, 5: 4.654344397783534, 6: 4.9339457846386505, 7: 5.074478027154048, 8: 5.536541764959998, 9: 7.526656926682471, 10: 8.453898652502877, 11: 8.877480457549249, 12: 31.296103824339262}, {1: 2.6335362325764162, 3: 3.467899184690908, 4: 3.5528458834044216, 6: 11.919845445782585, 7: 12.614930741343795, 10: 14.279402940517356, 11: 23.82101665706813, 8: 16.20103752929104, 12: 35.212772156759854}, {6: 13.967008507100486, 9: 14.246250669348708, 11: 24.352447850923095, 12: 38.19968043127067}, {2: 2.635348047117577, 1: 3.671162726817989, 6: 13.985924245050898, 12: 39.599071688581326, 9: 16.570185911498974}, {1: 6.425296363483269, 10: 15.911494006311786, 7: 19.903734127646565, 11: 23.397735981524807, 12: 39.623941911560394}, {1: 7.916595586279021, 8: 13.401624528771574, 7: 15.33008519680073, 10: 16.08463702071761, 11: 23.204334829553822, 12: 39.902795557195866}, {3: 3.877308901442872, 1: 7.753910131496085, 5: 6.837384918553697, 10: 16.84436387915932, 11: 16.970993086193822, 12: 41.12382451095598}, {2: 3.6888786180410045, 4: 3.9419624315415396, 3: 4.2049985406348815, 5: 7.069206893455843, 1: 8.713743967301289, 6: 15.114570119661582, 9: 16.90332452750935, 10: 17.150985954329723, 8: 17.37649411884171, 7: 21.937624500225496, 11: 24.64898666118083, 12: 41.503174179073696}]
13;[5, 19, 4, 2, 4, 3, 3, 6, 2, 2, 5, 6, 1];41;21;51.54206340779186;10.0;[{1: 11.120810758512958, 2: 40.40141375381395, 3: 2.907946915242834, 4: 3.5932212015585256, 5: 3.7669189900222135, 6: 7.185487101337462, 7: 7.426166483659546, 8: 29.89037684144289, 9: 7.696304860543868, 10: 7.8470905648607605, 11: 19.265915482707623, 12: 16.387957434606957, 13: 8.886610793336512}, {1: 5.465309209423993, 2: 44.821230574468395, 4: 5.823191170068989, 5: 12.999415493598217, 6: 8.635661705053966, 12: 26.459437312454245, 13: 23.70924200757038}, {1: 5.87481786642738, 4: 7.7522850798341265, 5: 11.390078446909557, 9: 11.784456140664167, 6: 13.21982627896431, 10: 15.774694142424057, 8: 16.607536897155182, 2: 40.33141187235105, 13: 24.493138464774624, 12: 30.884499008464445}, {2: 44.96887140953215, 1: 6.366834165318966, 10: 20.033187714716696, 8: 21.90749859719118, 11: 29.23872224739693}, {1: 25.723496407675363, 3: 3.409506058710223, 2: 34.02624963483868, 6: 11.327939203627576, 11: 16.081031862617255, 10: 20.387140728763935, 8: 30.982640167271192}, {1: 2.10471322368922, 3: 4.726508907511791, 2: 48.93292491730039, 6: 11.333117275225415, 11: 16.138891300164275, 10: 20.435079832368398, 12: 30.822493021577298, 8: 32.528355819426565}, {7: 10.290947816074436, 4: 10.46073939438239, 8: 33.28877083988495, 9: 13.617938985698427, 11: 18.584292925085613, 10: 20.439558015022183, 2: 49.45648263486101, 12: 31.737545564248954}, {3: 8.309933997275014, 5: 13.304599277642055, 7: 14.736349926386241, 4: 16.326510788354714, 9: 16.812967319243814, 6: 18.907667970005384, 10: 20.51536735087145, 1: 25.90519255173573, 13: 25.910084457287276, 11: 30.55227583745179, 12: 34.184381890297615, 8: 34.97307066921871, 2: 51.15732182275968}]
8;[0, 0, 0, 0, 0, 0, 0, 0];0;0;15.488908399795836;10.0;[{1: 2.192053105716787, 2: 2.596540355473062, 3: 2.879893780597676, 4: 3.6580961596236508, 5: 5.056663425518948, 6: 8.58940883874698, 7: 8.752534196778, 8: 9.954265519820927}]
14;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0;0;13.83098624387818;10.0;[{1: 0.6556405267731098, 2: 0.7854662082900384, 3: 0.7927309130201957, 4: 0.8667050653005743, 5: 2.62883057342883, 6: 2.727754558241033, 7: 3.5764533385092236, 8: 3.8691136455457484, 9: 4.969990880125521, 10: 5.353141535334158, 11: 6.47108509245615, 12: 7.789783927673181, 13: 8.027770523107026, 14: 8.298998685739196}]
9;[0, 0, 0, 0, 0, 0, 0, 0, 0];0;0;10.742554713857825;10.0;[{1: 0.5741189792887585, 2: 1.7043047693919435, 3: 1.9546182464560677, 4: 2.0158686515002735, 5: 2.134582606451686, 6: 2.349084895235563, 7: 2.5776152957329352, 8: 4.7702602759988375, 9: 5.302300408524026}]
8;[0, 0, 0, 0, 0, 0, 0, 0];0;0;11.397673766888182;10.0;[{1: 0.1695169090938198, 2: 3.2199215271194532, 3: 3.8997469224819574, 4: 5.19583981796324, 5: 6.356542229227963, 6: 6.392478759797229, 7: 8.264819237496038, 8: 9.781547574729316}]
11;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0;0;17.702593376071814;10.0;[{1: 0.7871786892590285, 2: 1.1884568111001212, 3: 2.1914086426259676, 4: 3.073015085067042, 5: 3.6404324853398937, 6: 8.023921779984342, 7: 8.041838849612127, 8: 8.551955479056106, 9: 8.633047971580714, 10: 8.98679348485071, 11: 9.365587173248352}]
10;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0;0;10.93635116753994;10.0;[{1: 0.4782656570966404, 2: 1.405839628309006, 3: 2.907518148129844, 4: 5.460282960667877, 5: 5.889277795900333, 6: 7.114175162732715, 7: 7.161734284424373, 8: 8.19806908327612, 9: 8.675901748644945, 10: 9.438291786118306}]
12;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0;0;10.975457630605595;10.0;[{1: 0.6781529471382827, 2: 1.2197894915190384, 3: 1.7090541575577558, 4: 2.6769551145997723, 5: 4.269303611317219, 6: 6.862284052604441, 7: 7.1257286637704675, 8: 7.232542238897763, 9: 7.2538563016278435, 10: 8.591837031674213, 11: 8.804412643329217, 12: 9.119822422372389}]
7;[0, 0, 0, 0, 0, 0, 0];0;0;10.048848391495422;10.0;[{1: 1.3572612649738047, 2: 4.168806127231626, 3: 4.4471814127570415, 4: 6.022720856310096, 5: 8.035718491839074, 6: 8.28819685576209, 7: 9.75358779961387}]
